Freq0,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Freq17,Freq18,Freq19,Freq20
0.244,0.244,0.244,0.348,0.348,0.348,0.209,0.209,0.209,0.232,0.232,0.232,0.314,0.314,0.314,0.239,0.239,0.239,0.240,0.240,0.240
-0.116,-0.116,-0.116,-0.021,-0.021,-0.021,-0.068,-0.068,-0.068,-0.223,-0.223,-0.223,-0.234,-0.234,-0.234,-0.235,-0.235,-0.235,-0.066,-0.066,-0.066
-0.387,-0.387,-0.387,-0.363,-0.363,-0.363,-0.479,-0.479,-0.479,-0.390,-0.390,-0.390,-0.399,-0.399,-0.399,-0.422,-0.422,-0.422,-0.242,-0.242,-0.242
0.023,0.023,0.023,-0.010,-0.010,-0.010,-0.041,-0.041,-0.041,-0.019,-0.019,-0.019,-0.155,-0.155,-0.155,-0.209,-0.209,-0.209,-0.158,-0.158,-0.158
-0.209,-0.209,-0.209,-0.266,-0.266,-0.266,-0.307,-0.307,-0.307,-0.261,-0.261,-0.261,-0.287,-0.287,-0.287,-0.219,-0.219,-0.219,-0.188,-0.188,-0.188
-0.353,-0.353,-0.353,-0.558,-0.558,-0.558,-0.431,-0.431,-0.431,-0.404,-0.404,-0.404,-0.428,-0.428,-0.428,-0.323,-0.323,-0.323,-0.279,-0.279,-0.279
0.104,0.104,0.104,-0.019,-0.019,-0.019,0.146,0.146,0.146,-0.061,-0.061,-0.061,-0.018,-0.018,-0.018,-0.093,-0.093,-0.093,0.015,0.015,0.015
-0.172,-0.172,-0.172,-0.251,-0.251,-0.251,-0.203,-0.203,-0.203,-0.167,-0.167,-0.167,-0.264,-0.264,-0.264,-0.227,-0.227,-0.227,-0.187,-0.187,-0.187
-0.427,-0.427,-0.427,-0.359,-0.359,-0.359,-0.378,-0.378,-0.378,-0.342,-0.342,-0.342,-0.247,-0.247,-0.247,-0.254,-0.254,-0.254,-0.187,-0.187,-0.187
0.059,0.059,0.059,-0.003,-0.003,-0.003,-0.053,-0.053,-0.053,-0.065,-0.065,-0.065,0.011,0.011,0.011,0.056,0.056,0.056,0.030,0.030,0.030
